Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,MatchResult
1993,Coventry City,Middlesbrough,2,1,Home
1993,Leeds United,Wimbledon,2,1,Home
1993,Sheffield Utd,Manchester Utd,2,1,Home
1993,Crystal Palace,Blackburn,3,3,Draw
1993,Arsenal,Norwich City,2,4,Away
1993,Ipswich Town,Aston Villa,1,1,Draw
1993,Everton,Sheffield Weds,1,1,Draw
1993,Southampton,Tottenham,0,0,Draw
1993,Chelsea,Oldham Athletic,1,1,Draw
1993,Nott'ham Forest,Liverpool,1,0,Home
1993,Manchester City,QPR,1,1,Draw
1993,Blackburn,Arsenal,1,0,Home
1993,Wimbledon,Ipswich Town,0,1,Away
1993,Tottenham,Coventry City,0,2,Away
1993,Liverpool,Sheffield Utd,2,1,Home
1993,Aston Villa,Leeds United,1,1,Draw
1993,Oldham Athletic,Crystal Palace,1,1,Draw
1993,Middlesbrough,Manchester City,2,0,Home
1993,Norwich City,Chelsea,2,1,Home
1993,QPR,Southampton,3,1,Home
1993,Manchester Utd,Everton,0,3,Away
1993,Sheffield Weds,Nott'ham Forest,2,0,Home
1993,Tottenham,Crystal Palace,2,2,Draw
1993,Wimbledon,Coventry City,1,2,Away
1993,Blackburn,Manchester City,1,0,Home
1993,Norwich City,Everton,1,1,Draw
1993,Sheffield Weds,Chelsea,3,3,Draw
1993,Manchester Utd,Ipswich Town,1,1,Draw
1993,Aston Villa,Southampton,1,1,Draw
1993,Middlesbrough,Leeds United,4,1,Home
1993,QPR,Sheffield Utd,3,2,Home
1993,Oldham Athletic,Nott'ham Forest,5,3,Home
1993,Liverpool,Arsenal,0,2,Away
1993,Southampton,Manchester Utd,0,1,Away
1993,Sheffield Utd,Wimbledon,2,2,Draw
1993,Ipswich Town,Liverpool,2,2,Draw
1993,Crystal Palace,Sheffield Weds,1,1,Draw
1993,Leeds United,Tottenham,5,0,Home
1993,Everton,Aston Villa,1,0,Home
1993,Manchester City,Norwich City,3,1,Home
1993,Arsenal,Oldham Athletic,2,0,Home
1993,Coventry City,QPR,0,1,Away
1993,Chelsea,Blackburn,0,0,Draw
1993,Sheffield Utd,Aston Villa,0,2,Away
1993,Nott'ham Forest,Manchester Utd,0,2,Away
1993,Southampton,Middlesbrough,2,1,Home
1993,Crystal Palace,Norwich City,1,2,Away
1993,Manchester City,Oldham Athletic,3,3,Draw
1993,Chelsea,QPR,1,0,Home
1993,Arsenal,Sheffield Weds,2,1,Home
1993,Coventry City,Blackburn,0,2,Away
1993,Everton,Wimbledon,0,0,Draw
1993,Leeds United,Liverpool,2,2,Draw
1993,Ipswich Town,Tottenham,1,1,Draw
1993,Norwich City,Nott'ham Forest,3,1,Home
1993,Middlesbrough,Ipswich Town,2,2,Draw
1993,Wimbledon,Manchester City,0,1,Away
1993,Liverpool,Southampton,1,1,Draw
1993,Oldham Athletic,Leeds United,2,2,Draw
1993,Manchester Utd,Crystal Palace,1,0,Home
1993,Sheffield Weds,Coventry City,1,2,Away
1993,QPR,Arsenal,0,0,Draw
1993,Tottenham,Sheffield Utd,2,0,Home
1993,Aston Villa,Chelsea,1,3,Away
1993,Norwich City,Southampton,1,0,Home
1993,Oldham Athletic,Coventry City,0,1,Away
1993,Sheffield Weds,Manchester City,0,3,Away
1993,Wimbledon,Arsenal,3,2,Home
1993,Middlesbrough,Sheffield Utd,2,0,Home
1993,QPR,Ipswich Town,0,0,Draw
1993,Blackburn,Nott'ham Forest,4,1,Home
